Author,Quote,Topic,Tags
A,"A man should demand much from himself, but little from others. When you meet a man of worth, think how you may attain to his excellence. When you meet an unworthy one, then look within and examine yourself.",,
B,"A man should hear a little music, read a little poetry, and see a fine picture every day of his life, in order that worldly cares may not obliterate the sense of the beautiful which God has implanted in the human soul.",,
C,"A man should keep his little brain attic stocked with all the furniture that he is likely to use, and the rest he can put away in the lumber room of his library, where he can get it if he wants it.",,
D,A man should kiss his wife's navel every day.,,
E,"A man should live his life a certain way not because of some divine authority, but because of a personal moral obligation to himself and others.",,
F,"A man should look for what is, and not for what he thinks should be.",,
A,"A man should never be ashamed to own that he has been in the wrong, which is but saying in other words that he is wiser today than he was yesterday.",,
B,A man should never make a fortune while another man starves.,,
C,A man should never neglect his family for business.,,
D,A man should not strive to eliminate his complexes but to get into accord with them: they are legitimately what directs his conduct in the world.,,
E,A man should swallow a toad every morning to be sure of not meeting with anything more revolting in the day ahead.,,
F,A man sits as many risks as he runs.,,
A,"A man snatches the first kiss, pleads for the second, demands the third, takes the fourth, accepts the fifth - and endures all the rest.",,
B,A man so painfully in love is capable of self-torture beyond belief.,,
C,"A man sometimes devotes his life to a desire which he is not sure will ever be fulfilled. Those who laugh at this folly are, after all, no more than mere spectators of life.",,
D,"A man sooner or later discovers that he is the master-gardener of his soul, the director of his life.",,
E,A man speaking sense to himself is no madder than a man speaking nonsense not to himself.,,
F,A man takes what the gods thrust upon him.,,
A,"A man that don't love a horse, there is something the matter with him.",,
B,"A man that is born falls into a dream like a man who falls into the sea. If he tries to climb out into the air as inexperienced people endeavor to do, he drowns.",,
C,A man that is young in years may be old in hours if he have lost no time. ,,
D,"a man there was, though some did count him mad, the more he cast away the more he had.",,
A,A man thinks that by mouthing hard words he understands hard things.,,
B,"A man told me that for a woman, I was very opinionated. I said, 'for a man you're kind of ignorant'.",,
C,"A man to whom a woman cannot look up, she cannot love. Yet, it is marvelous how a woman contrives to find something to look up to in a man.",,
D,"A man wants his virility regarded. A woman wants her femininity appreciated, however indirect and subtle the indications of regard and appreciation. [ Here] one is respected and judged only as a human being. It is an appalling experience.",,
E,A man travels the world over in search of what he needs and returns home to find it.,,
F,"A man was defined not by his flaws, but by how he overcame them.",,
A,"A man wants to earn money in order to be happy, and his whole effort and the best of a life are devoted to the earning of that money. Happiness is forgotten; the means are taken for the end.",,
B,A man was attacking me with a wet handkerchief.,,
C,A man was the cause of it. An unarmed man with a weapon.,,
D,"a man was on his way to the gallows when he met another, who asked him: where are you going, my friend? and the condemned man replied: i'm not going anywhere. they're taking me by force.",,
E,A man who farts in bedis a man who loves life.,,
F,"A man wasn't equal to an animal, not one particle of him. Human life was stinking corrupt, and meanwhile there were beautiful creatures who lived with delicacy on the earth without doing anyone harm. "" We should be dying."" the judge almost wept.",,
A,"A man went to Istanbul, his first visit there. On his way to a business meeting, this man lost his way. He began raging at himself for getting lost, until a realization allowed him to transcend his ire. "" How can I be lost? I've never been here before?"" pp 104-105",,
B,A man when he is making up to anybody can be cordial and gallant and full of little attentions and altogether charming. But when a man is really in love he can't help looking like a sheep.,,
C,"A man who as a physical being is always turned toward the outside, thinking that his happiness lies outside him, finally turns inward and discovers that the source is within him.",,
D,"A man who becomes conscious of the responsibility he bears toward a human being who affectionately waits for him, or to an unfinished work, will never be able to throw away his life. He knows the ""why"" for his existence, and will be able to bear almost any ""how"".",,
E,A man who can beat the horses can do anything he makes up his mind to do. ,,
F,A man who can laugh at himeself delivers all men from the burden of their vanity.,,
A,A man who can seduce with a turn of phrase will not disappoint in the bedroom.,,
B,A man who can't bear to share his habits is a man who needs to quit them.,,
C,A man who can't uphold his beliefs is pathetic dead or alive - Hajime Saito,,
D,A man who casts no shadow isn't really a man at all.,,
A,A man who catches History's eye is thereafter bound to a mistress from whom he will never escape.,,
B,A man who claims to be 32 degrees is one freezing freemason. That man must make love with all the warmth of a shadowy secret.,,
C,"A man who could not see the end of his""provisional existence"" was not able to aim at an ultimate goal in life.",,
D,A man who couldn't make things go right could at least go. He could quit trying to get out of the way of life. Chuck routine. Live the real jeopardy of circumstance. It was a question of dignity.,,
E,A man who dares to waste one hour of time has not discovered the value of life.,,
F,"A man who denies his past is a man who truly denies himself a future, for he refuses to know himself, and to deny knowledge of oneself is to stumble through life as handicapped as the blind mute.",,
A,"A man who desires to soften another man's heart, should always abuse himself. In softening a woman's heart, he should abuse her.",,
B,A man who discovers his pants are on fire tends to have very little time to worry about somebody else's box of matches,,
C,A man who does not have something for which he is willing to die is not fit to live.,,
D,A man who does not think for himself does not think at all.,,
E,"A man who doesn't say what he means or do what he says, craves attention and misuses it when he gets it, doesn't share what he knows and earns,deserves death.",,
F,A man who doesn't spend time with his family can never be a real man.,,
A,A man who does't want opinions should keep his own mouth shut.,,
B,"A man who doles out sweets, and slaps, with the same hand.",,
C,"A man who don't know history, he don't know anything.",,
D,"A man who doubts himself shouldn't have to try too hard for too long, not until he's seasoned.",,
E,"A man who drinks too much on occasion is still the same man as he was sober. An alcoholic, a real alcoholic, is not the same man at all. You can't predict anything about him for sure except that he will be someone you never met before.",,
F,A man who embarks on a journey must know when to end it.,,
A,A man who has lived in many places is not likely to be deceived by the local errors of his native village; the scholar has lived in many times and is therefore in some degree immune from the great cataract of nonsense that pours from the press and the microphone of his own age.,,
B,"A man who first tried to guess 'what the public wants,' and then preached that as Christianity because the public wants it, would be a pretty mixture of fool and knave",,
C,"A man who gives a good account of himself is probably lying, since any life when viewed from the inside is simply a series of defeats.",,
D,"A man who goes around with a prophecy-gun ought never to get discouraged: if he will keep up his heart and fire at everything he sees, he is bound to hit something by and by.",,
A,A man who goes into a restaurant and blatantly disrespects the servers shows a strong discontent with his own being. Deep down he knows that restaurant service is the closest thing he will ever experience to being served like a king.,,
B,"A man who had felt less, might.",,
C,A man who has been dead for a week in a hot trailer looks more like a man than you would first expect.,,
D,"A man who has been refused! How could I ever be foolish enough to expect a renewal of his love? Is there one among the sex, who would not protest against such a weakness as a second proposal to the same woman? There is no indignity so abhorrent to their feelings!",,
E,A man who has been through bitter experiences and travelled far enjoys even his sufferings after a time,,
F,A man who has ceased to learn ought not to wander around loose in these dangerous times,,
A,A man who has come to the full realization of his responsibility to men won't stick to one man. It will be foolhardy if he does that.,,
B,A man who limits his interests limits his life.,,
C,"A man who has never been hungry may possess a more refined palate, but he has no idea what it means to eat.",,
D,"A man who has never gone to school may steal a freight car; but if he has a university education, he may steal the whole railroad.",,
E,"A man who has no conscience, no goodness, does not suffer.",,
F,"A man who has no fire, is an unfurtunate man",,
A,A man who has not enough originality to think out a new title for his book will be much less capable of giving it new contents.,,
B,"A man who has not passed through the inferno of his passions has never overcome them. As far as we can discern, the sole purpose of human existence is to kindle a light in the darkness of mere being. Everything that irritates us about others can lead us to an understanding of ourselves.",,
C,A man who has not suffered has nothing to tell with his paintings.,,
D,A man who has nothing in particular to recommend him discusses all sorts of subjects at random as if he knew everything.,,
E,A man who has spent most of his adult life trying out a series of patent medicines is always an optimist.,,
F,"A man who has to forge his own tools, his own language, is a man who is going somewhere.",,
A,A man who is certain he is right is almost sure to be wrong.,,
B,"A man who is eating or lying with his wife or preparing to go to sleep in humility, thankfulness and temperance, is, by Christian standards, in an infinitely higher state than one who is listening to Bach or reading Plato in a state of pride.",,
C,"A man who is fighting for the future of mankind is not waiting for torture, he's waiting for -- the Revolution.",,
D,"A man who is good from docility, and not from stern self-control, has no character.",,
A,A man who is intimate with God is not intimidated by man.,,
B,"A man who is master of himself can end a sorrow as easily as he can invent a pleasure. I don't want to be at the mercy of my emotions. I want to use them, to enjoy them, and to dominate them.",,
C,"A man who is not a father to his children can never be a real man,",,
D,"A man who is not afraid of the sea will soon be drownded, for he will be going out on a day he shouldn't. But WE do be afraid of the sea, and we do only be drownded now and again.",,
E,A man who is of 'sound mind' is one who keeps his inner madman under lock and key.,,
F,"A man who is perpetually thinking of whether this race or that race is strong, of whether this cause or thatcause is promising, is the man who will never believe in anything long enough to make it succeed.",,
A,"A man who is truthful and does not mean ill even to his adversary will be slow to believe charges even against his foes. He will, however, try to understand the viewpoints of his opponents and will always keep an open mind and seek every opportunity of serving his opponents.",,
B,"A man who is used to acting in one way never changes; he must come to ruin when the times, in changing, no longer are in harmony with his ways.",,
C,A man who keeps company with glaciers comes to feel tolerably insignificant by and by.,,
D,"A man who knows how little he knows is well, a man who knows how much he knows is sick. If, when you see the symptoms, you can tell, Your cure is quick. A sound man knows that sickness makes him sick and before he catches it his cure is quick.",,
E,"A man who knows what other men know,know nothing for they all know the same",,
F,A man will be known by his books.,,
A,A man who loses his privacy loses everything. And a man who gives it up of his own free will is a monster.,,
B,a man who loses his privacy loses everything...a man who gives it up of his own free will is a monster,,
C,A man who loves his mother too much is someone who can never love his wife enough.,,
D,"A man who loves money is a bastard, someone to be hated. A man who can't take care of it is a fool. You don't hate him, but you got to pity him.",,
E,A man who marries without knowing Bunbury has a very tedious time of it.,,
F,"A man who moralizes is a hypocrite, and a woman who does so is invariably plain.",,
A,A man who offers to cook after he's seen you trying to freeze a dead dog has to be at least a little bit keen.,,
B,A man who pays respect to the great paves the way for his own greatness,,
C,A man who procrastinates in his choosing will inevitably have his choice made for him by circumstance.,,
D,"A man who reads at all, reads just as he eats, sleeps, and takes exercise,because he likes it; and that is probably the best reason that canbe given for the practice.",,
A,"A man who says, ' I want to change, tell me how to', seems very earnest, very serious, but he is not. He wants an authority whom he hopes will bring about order in himself. But can authority ever bring about inward order? Order imposed from without must always breed disorder.",,
B,A man who takes himself too seriously will find that no one else takes him seriously.,,
C,A man who trusts everyone is a fool and a man who trusts no one is a fool. We are all fools if we live long enough.,,
D,"A man who uses a great many words to express his meaning is like a bad marksman who, instead of aiming a single stone at an object, takes up a handful and throws at it in hopes he may hit.",,
E,A man who wears a fragrant flower on his collar spreads a perfume wherever he goes. (141),,
F,A man who wields a pen has to be accountable to society.,,
A,"A man who will enslave his own blood, may not be safely relied on for magnamity.",,
B,A man who will risk nothing for love is not a man,,
C,"A man who wills commands something within himself that renders obedience, or that he believes renders obedience.",,
D,A man who wishes to make his way in life could do no better than go through the world with a boiling tea-kettle in his hand.,,
E,A man who wishes to profess at all times will come to ruin among so many who are not good.,,
F,A man who won't die for something is not fit to live.,,
A,A man who won't listen can't hear.,,
B,"A man who works all day, every day and loves each apple he uncrates, who cherishes each can of soup - a man like that surely puts us all to shame.",,
C,"A man who works evil against another works it really against himself, and bad advice is worst for the one who devised it",,
D,"A man who works with his hands is a laborer. A man who works with his hands and his brain is a craftsman. A man who works with his hands, brain and heart is an artist.",,
E,A man who works with his hands is a laborer; a man who works with his hands and his brain is a craftsman; but a man who works with his hands and his brain and his heart is an artist.,,
F,"A man who worships in Spirit and Truth no longer honors the Creator because of His works, but praises Him because of Himself. ",,
A,"A man who would letterspace lower case would steal sheep, Frederic Goudy liked to say. If this wisdom needs updating, it is chiefly to add that a woman who would letterspace lower case would steal sheep as well .",,
B,A man will always promise to do more than he can do to a woman he cannot understand.,,
C,A man will be imprisoned in a room with a door that's unlocked and opens inwards; as long as it does not occur to him to pull rather than push.,,
D,"A man will reveal his true self, or so it seems, on the tennis court.",,
A,"A man with a club [bat] is a law-maker, a man to be obeyed, but not necessarily conciliated.",,
B,A man with battered hands is shown to be a craftsman only when he puts them to work.,,
C,A man with a credit card is in hock to his own image of himself.,,
D,A man with a machine and inadequate culture is a pestilence.,,
E,A man with a rifle is a citizen; a man without one is merely a subject.,,
F,A man with a sword has a means to stay alive. A man with a named sword has a reason to stay alive.,,
A,A man's alter ego is nothing more than his favorite image of himself.,,
B,"A man with charm is an entertaining thing, and a man with looks is, ofcourse, a sight to behold, but a man with honor - ah, he is the one, dear reader, to which young ladies should flock.",,
C,A man with dreams cannot be denied,,
D,A man with experience can gain his place in the world. A man of continous arguments cease to learn. O' But a man of wisdom understands experience comes and goes and arguments are for fools.,,
E,A man with no enemies is a man with no character.,,
F,A man with no philosophy in him is the most inauspicious and unprofitable of all possible social mates.,,
A,A man with no sword can never be beaten in swordmanship.,,
B,A man with nothing to die for has even less for which to live.,,
C,A man with outward courage dares to die; a man with inner courage dares to live.,,
D,"A man with six fingers on one hand who gets his finger cutoff by the mafia probably doesn't feel pain, fear, or anger. No, that man probably feels normal.",,
E,A man without a mustache is a man without a soul.,,
F,A man without a vote is a man without protection.,,
A,A man without a wife and babies is a menace to civilization... One bachelor is an irritation. Ten thousand bachelors are a war.,,
B,A man without a woman is like a pistol without a trigger; it is the woman who makes the man go off.,,
C,"A man without fear, is a man I strive to be.",,
D,"A man without hands came to the door to sell me a photograph of my house. Except for the chrome hooks, he was an ordinary-looking man of fifty or so.",,
A,A Man Without Honoris Worse than Dead.,,
B,A man without persistence will never make a good shaman or a good physician.,,
C,A man without pleasure is a man without any idea what life is about,,
D,"A man without reason is no better than a mad dog, and mad dogs must be put down for the good of everyone.",,
E,A man without words is a man without thought.,,
F,A man would do nothing if he waited until he could do it so well that no one could find fault.,,
A,"A man would know the end he goes to, but he cannot know it if he does not turn, and return to his beginning, and hold that beginning in his being. If he would not be a stick whirled and whelmed in the stream, he must be the stream itself, all of it, from its spring to its sinking in the sea.",,
B,a man would know the women he was meant to be with because she made him weak. Till he claimed her and she made him strong.,,
C,A man would rather be trampled by elephants on fire than tell you he's just not that into you.,,
D,A man wrapped up in himself makes a very small bundle.,,
E,A man wrapped up in himself makes a very small parcel.,,
F,"A man, after he has brushed off the dust and chips of his life, will have only the hard, clean questions: Was it good or was it evil? Have I done well--or ill?",,
A,"A man, though wise, should never be ashamed of learning more, and must unbend his mind.",,
B,"A man, to be greatly good, must imagine intensely and comprehensively; he must put himself in the place of another and many others; the pains and pleasures of his species must become his own. The great instrument of moral good is the imagination.",,
C,"A man, whilst he is dreaming, believes in his dream; he is undeceived only when he is awakened from his slumber.",,
D,A man. A dead man. A dead man with no arms.,,
E,"A man? If I need a man, wouldn't you think I'd have one of my own? Must I wait for you?",,
F,A managed democracy is a wonderful thing... for the managers... and its greatest strength is a 'free press' when 'free' is defined as 'responsible' and the managers define what is 'irresponsible'.,,
A,A manager is responsible for the application and performance of knowledge. ,,
B,A man's accomplishments in life are the cumulative effect of his attention to detail.,,
C,"A man's actions are determined by necessity, external and internal.",,
D,"A man's bookseller should keep his confidence, like his physician. What can become of a world where every man knows what another man reads? Why, sir, books would become like quacks' potions, with every mountebank in the newspapers claiming one volume's superiority over another.",,
A,"A man's beliefs are his destiny. As soon as my father believed his life was over, it was.",,
B,"A man's body is as the shell, or the tablet, of his soul, as he is reserved or ingenuous, overflowing or self-contained.",,
C,A man's bookcase will tell you everything you'll ever need to know about him.,,
D,A man's silence is wonderful to listen to.,,
E,"A man's calling is written on his true heart, and he discovers it when he enters the frontier of his deep desires.",,
F,A man's character is his fate.,,
A,A man's character may be learned from the adjectives which he habitually uses in conversation.,,
B,"A man's concern, even his despair, over the worthwhileness of life is an existential distress but by no means a mental disease.",,
C,"A man's conscience and his judgment are the same thing, and, as the judgment, so also the conscience may be erroneous",,
D,"A man's country is not a certain area of land, of mountains, rivers, and woods, but it is a principle; and patriotism is loyalty to that principle.",,
E,"A man's desire is for the woman, but the woman's desire is rarely other than for the desire of the man.",,
F,"A man's destiny is not in the eyes of others. It's in his own. And that, my young friend, is as good as any bank note.",,
A,"A man's dignity isn't measured by the people he has around him when he's at the peak of his success, but by his ability not to forget those who helped him when his need was greatest.",,
B,A man's ego is the fountainhead of human progress.,,
C,"A man's entitled to feel sadness sometimes for what he's lost, even if he's found something else.",,
D,"A man's ethical behaviour should be based effectually on sympathy, education, and social ties and needs; no religious basis is necessary. Man would indeed be in a poor way if he had to be restrained by fear of punishment and hope of reward after death.",,
E,A man's ethnic identity has more to do with a personal awareness than with geography.,,
F,A man's every action is inevitably conditioned by what surrounds him and by his own body.,,
A,"A man's eye serves as a photography to the invisible, as well as his ear serves as echo to the silence.",,
B,A man's face is his autobiography. A woman's face is her work of fiction.,,
C,"A man's feet must be planted in his country, but his eyes should survey the world.",,
D,A man's first care should be to avoid the reproaches of his own heart.,,
A,A man's flesh is his own; the water belongs to the tribe.,,
B,A man's got to do what a man's got to do.,,
C,A man's got to take a lot of punishment to write a really funny book.,,
D,A man's gotta do what a man's gotta do,,
E,"A man's grammar, like Caesar's wife, should not only be pure, but above suspicion of impurity.",,
F,"A man's greatest pleasure is to defeat his enemies, to drive them before him, to take from them that which they possessed, to see those whom they cherished in tears, to ride their horses, and to hold their wives and daughters in his arms.",,
A,A man's greatest treasures are his illusions - Durzo Blint,,
B,A man's growth is seen in the successive choirs of his friends.,,
C,"A man's heart is a wretched, wretched thing. It isn't like a mother's womb. It won't bleed. It won't stretch to make room for you.",,
D,A man's honor always seems to want to kill a woman to satisfy it. ,,
E,A man's immortality can be found in his children.,,
F,A man's kiss is his signature.,,
A,A man's library is a sort of harem.,,
B,"A man's life is always dealing with permanence, that is the most dangerous kind of irresponsibility is to think of your doings as temporary.",,
C,A mans life is interesting primarily when he has failed. I well know. For its a sign that he tried to surpass himself.,,
D,A Man's management of his own purse speaks volumes about character,,
E,A mans manners are a mirror in which he shows his portrait.,,
F,A man's mind must be continually expanding and shrinking between the whole human horizon and the horizon of an object-glass.,,
A,A man's moral conscience is the curse he had to accept from the gods in order to gain from them the right to dream.,,
B,"A man's name is not like a mantle which merely hangs about him, and which one perchance may safely twitch and pull, but a perfectly fitting garment, which, like the skin, has grown over and over him, at which one cannot rake and scrape without injuring the man himself.",,
C,"A man's needs are few. The simpler the life, therefore, the better. Indeed, only three things are truly necessary in order to make life happy: the blessing of God, the benefit of books, and the benevolence of friends.",,
D,"A man's past keeps growing, even when his future has come to a full stop.",,
A,"A man's perishing here, a man's vanishing from his own sight here, and can't control himself--what sort of wedding can there be!",,
B,"A man's plumbing is like his mind: simple, very few surprises. You ladies, on the other hand...well, God put a lot of thought in making you.",,
C,"A man's power is in the half-light, in the half-seen movements of his hand and the unguessed-at expression of his face. It is the absence of facts tat frightens people: the gap you open, into which they pour their fears, fantasies, desires.",,
D,"A man's presence suggests what he is capable of doing to you or for you. By contrast, a woman's presencedefines what can and cannot be done to her.",,
E,"A man's real possession is his memory. In nothing else is he rich, in nothing else is he poor.",,
F,A man's riches are based on what he can do without.,,
A,"A metamorphosis... The shining butterfly of the soul from the pupa of the body. Larva, pupa, imago. An image of art.",,
B,"A man's sorrow runs uphill; true it is difficult for him to bear, but it is also difficult for him to keep.",,
C,"A man's spirit is free, but his pride binds him with chains of suffocation in a prison of his own insecurities",,
D,"A man's subconscious self is not the ideal companion. It lurks for the greater part of his life in some dark den of its own, hidden away, and emerges only to taunt and deride and increase the misery of a miserable hour.",,
E,"A man's subconscious self is not the ideal companion. It lurks for the greater part of his life in some dark den of its own, hidden away, and emerges only to taunt and deride and increase the misery of a miserable hour. -- Uneasy Money",,
F,A man's true character comes out when he's drunk.,,
A,A man's true wealth is the good he does in the world.,,
B,"A man's truest self realizations might require him, above all, to learn to close his eyes: to let himself be taken unawares, to follow his dark angel, to risk his illegal instincts.",,
C,"A man's vanity is more fragile that you might think. It's easy for us to mistake shyness for coldness, and silence for indifference.",,
D,A man's weaknesses may intrude on his faith but they do not diminish it.,,
E,A man's whole life / may be a metaphor - but a woman's lot / is symbol.,,
F,"A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.",,
A,A man's world is different from a woman's world and a man's emotions are different from a woman's emotions and only marriage can bring the two different sets of emotions together properly.,,
B,A man's worth is no greater than the worth of his ambitions.,,
C,A man's worth isn't measured by a bank register or diploma... It's about integrity,,
D,A manually-powered trenching instrument is still a shovel...,,
A,"A map does not just chart, it unlocks and formulates meaning; it forms bridges between here and there, between disparate ideas that we did not know were previously connected.",,
B,"A map of the world that does not include Utopia is not worth even glancing at, for it leaves out the one country at which Humanity is always landing. And when Humanity lands there, it looks out, and, seeing a better country, sets sail. Progress is the realisation of Utopias.",,
C,"A map says to you. Read me carefully, follow me closely, doubt me not... I am the earth in the palm of your hand.",,
D,"A map such as that one is worth many hundreds, and as luck will have it, thousands of dollars. But more than this, it is a remembrance of that time before our planet was so small. When this map was made, I thought, you could live without knowing where you were not living.",,
E,"A map was a fine thing to study when you were disposed to think of something else, being made up of names that would turn into a chime if you went back upon them.",,
F,"A map, it is said, organizes wonder.",,
A,A Margo for each of us--and each more mirror than window.,,
B,"A market economy is to economics what democracy is to government: a decent, if flawed, choice among many bad alternatives.",,
C,A marriage is always made up of two people who are prepared to swear that only the other one snores.,,
D,A marriage of two independent and equally irritable intelligences seems to me reckless to the point of insanity.,,
E,"A marriage shouldn't have to be so much work. Love shouldn't crush your soul. A relationship should add to your life, not take away from it.",,
F,"A marriage, willy-nilly, requires you to trust that your spouse will tell your story truthfully and lovingly when you are no longer around to tell it yourself.",,
A,A married man is just a single man who couldn't say no.,,
B,A martyr's just a casualty with really good PR.,,
C,"A marvelous thing it would be to stand with confidence, unafraid, unashamed, and unembarrassed in the presence of God.",,
D,A mask of gold hides all deformities.,,
E,"A mask, no matter how beautiful, is still a mask",,
F,A master can teach many things. But the most important lesson for a ninja is to learn oneself.,,
A,"A master can tell you what he expects of you. A teacher, though, awakens your own expectations",,
B,"A master has always something to offer, while we go hungry solely because of our own lack of appreciation.",,
C,"A Master Jedi feels emotions, but they do not allow them to influence their reasoning. Yoda told Luke that he would know the good from the bad when he was 'calm, at peace.",,
D,A match as a pen Blood on the floor as ink The forgotten gauze cover as paper But what should I write? I might just manage my address This ink is strange; it clots I write you from a prisonin Greece,,
A,A match made in heaven - where do you get those? That's what I want to know!,,
B,A mathematical formula for happiness: Reality divided by Expectations.There were two ways to be happy:improve your reality or lower your expectations.,,
C,A mathematician believes that describing the speed of Mercury with equations amounts to science.,,
D,A mathematician is a device for turning coffee into theorems,,
E,"A mathematician is a magician who converts adjectives into nouns: continuous into continuum, infinite into infinity, infinitesimal into location, 0 D into point, 1 D into line, curved into geodesic...",,
F,A mathematician is an individual who believes that prophesying that his dog will die if he deprives it of food constitutes a prediction.,,
A,A mathematician is an individual who constructs space with 0 D particles and then places a bowling ball on this invisible canvas to explain how gravity works.,,
B,A mathematician makes plans to travel backwards in time through a wormhole to a parallel universe when he can't even make it to Mars with the fastest rocket on hand today.,,
C,A mathematician says that an electromagnetic wave travels from Andromeda to your eye and that it also extends from Andromeda to your eye.,,
D,A mathematician tells you that the wall of warped space prevents the Moon from flying out of its orbit yet can't tell you why an astronaut can go back and forth across that same space.,,
E,A mathematician who is not also something of a poet will never be a complete mathematician.,,
F,"A mathematician, like a painter or poet, is a maker of patterns. If his patterns are more permanent than theirs, it is because they are made with ideas.",,
A,"A matter, as the famous book intoned, of finding the shade of the parachute that best complemented you. But really: With no parachute at all you'd hit the pavement so hard it probably wouldn't even hurt, and you'd unleash a whole new color palate-bone, blood, muscle-in the process.",,
B,A mature soul filled with scars of life experiences.,,
C,A meal that can be packed and frozen and thawed is nothing you should desire--much less teach your kids to want.,,
D,A means can be justified only by its end. But the end in its turn needs to be justified.,,
E,A mechanic is just an engineer in blue jeans.,,
F,A mechanical toothbrush is the greatest oral device in the history of the sex toy industry.,,
A,"A medical man likes to make psychological observations, and sometimes in the pursuit of such studies is too easily tempted into momentous prophecy which life and death easily set at nought.",,
B,A medicine cat has no time for doubt. Put your energy into today and stop worrying about the past.,,
C,"A meeting of the hearts of two Gemini has been known to end with explosive results, Mr Holloway.",,
D,A melancholy is a lot of melancholies.,,
A,A melancholy lesson of advancing years is the realisation that you can't make old friends.,,
B,"A melancholy-looking man, he had the appearance of one who has searched for the leak in life's gas-pipe with a lighted candle.",,
C,"A member of Parliament to Disraeli: ' Sir, you will either die on the gallows or of some unspeakable disease.' That depends, Sir,' said Disraeli, 'whether I embrace your policies or your mistress.",,
D,"A meme, what is it? Is it a doubly selfish cultural reference that's all about me and me (my clone)?",,
E,A memory is made up of pieces of information taken in and processed by the brain in a way that is unique to each individual.,,
F,A memory is what is left when something happens and does not completely unhappen.,,
A,"A men whose every word is nothing but the truth is not a human being but a god! Gods do not die, whereas Aristotle is lying in a grave now.",,
B,A mental stain can neither be blotted out by the passage of time nor washed away by any waters.,,
C,A meow massages the heart.,,
D,"A meow's a sound I want to look at. And after I see it, I want to pet it.",,
E,"A mere 400 years after our fall from the center of the universe, we have experienced the fall from the center of ourselves.",,
F,"A mere like this might be bottomless mud, like the one at home they used to drown the buggers in.",,
A,"A mere redrawing of borders, a change in governments, those things can never faze a Jewess with a good supply of hand wipes in her bag.",,
B,"A mermaid found a swimming lad, Picked him up for her own, Pressed her body to his body, Laughed; and plunging down Forgot in cruel happiness That even lovers drown.",,
C,A merry little surge of electricity piped by automatic alarm from the mood organ beside his bed awakened Rick Deckard.,,
D,"A meshummed gives up one God for another. I don't want either. We live in a world where the clock ticks fast while he's on his timeless mountain staring in space. He doesn't see us and he doesn't care. Today I want my piece of bread, not in Paradise.",,
E,"A message had been sent to EmmaVaile at an account I didn't recognize. It was from BennettStern at the same network. Four words: "" I'm grateful for you.",,
F,A message was scribbled on the wall: Life is for sale. Alert the news for the media.,,
A,A messy house is a must - it separates your true friends from other friends. Real friends are there to visit you not your house!,,
B,"A mind is a terrible thing to waste, Share the joy of reading with all you meet. Both young and Old. Especially the children.",,
C,A metaphor is like a simile.,,
D,A metaphorical weight lifted from his allegorical chest and Artemis Fowl felt himself again.,,
A,"A method of procuring sensations? Do you think then, that a man who has once committed a murder could possibly do the same crime again? Don't tell me that."" says Dorian.""Oh! anything becomes a pleasure if one does it too often,"" says Lord Henry",,
B,A metric fuckton of dumb so epically mind-destroyingly beyond a bad idea that there's not a chance they would go there.,,
C,"A Mexican guy named Sam pushes Gary Frankel next to Isabel. "" This guy can break your arm with one snap, asshole. Get out of my sight before I sic him on you,"" Sam says. Gary, who's wearing a coral shirt and white pants, growls to look tough. It doesn't work.",,
D,"A Michigander can be every bit as prickly as a New Yorker, just not out loud. The Midwesterner's credo: keep it to yourself.",,
E,"A middle finger is more New York than a corporate ambush. I bleed for my hometown, and I'd die for my fans.",,
F,A mighty flame follows a tiny spark.,,
A,A mighty oak can be felled by even the tiniest of insects when one allows them to continually gnaw at it. ( Callie's Mother),,
B,"A mighty pain to love it is, And 't is a pain that pain to miss; But of all pains, the greatest pain It is to love, but love in vain.",,
C,A migraine is the cockblock of writing.,,
D,A Mile A Minute,,
E,A million candles burnt in him without his being at the trouble of lighting a single one,,
F,A million candles have burned themselves out. Still I read on. ( Montresor),,
A,A million faces at my feet but all I see are dark eyes.,,
B,A million gripes against the darkness will not make a dent in it. But a little candle will.,,
C,A mind all logic is like a knife all blade. It makes the hand bleed that uses it.,,
D,A mind at peace a mind centered and not focused on harming others is stronger than any physical force in the universe.,,
E,A mind enclosed in language is in prison.,,
F,A mind filled with negative thoughts makes you feel miserable and inadequate and will lead to failure after failure no matter how hard you try to succeed.,,
A,"A mind forever Voyaging through strange seas of Thought, alone.",,
B,A mind too active is no mind at all.,,
C,A mind is like a parachute. It doesn't work if it is not open.,,
D,A mind is like a puzzle; you must unlock it to read its hidden secrets.,,
A,"A mind lively and at ease, can do with seeing nothing, and can see nothing that does not answer.",,
B,"A mind not to be changed by place or time. The mind is its own place, and in itself Can make a heav'n of hell, a hell of heav'n.",,
C,A mind of moderate capacity which closely pursues one study must infallibly arrive at great proficiency in that study.,,
D,A mind set in its ways is wasted. Don't do it.,,
E,A mind troubled by doubt cannot focus on the course of victory.,,
F,A mind which really lays hold of a subject is not easily detached from it.,,
A,A morning of awkwardness is far better then a night of loneliness,,
B,"A mind without instruction can no more bear fruit than can a field, however fertile, without cultivation.",,
C,"A mind, like a home, is furnished by its owner, so if one's life is cold and bare he can blame none but himself. You have a chance to select from pretty elegant furnishings.",,
D,"A minha memoria move-se em circulos, espirais e saltos de trapezista.",,
